                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0287,                 2.7898,                 1.9242,                0.63516,                    0.9,                0.81645,                0.43309,                 1.3568,                 2.7203,                 1.4925,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.4544,                 1.8243,                 1.5434,                      1,                0.84405,                0.91555,                0.54427,                 1.3256,                 2.0875,                 1.5299,             0.00077941,             0.00077941,             0.00077941
                      3,                   1.49,                 1.7505,                  1.572,                0.89578,                   0.95,                0.96405,                0.43908,                 1.5583,                 2.3347,                 1.6471,              0.0011172,              0.0011172,              0.0011172
                      4,                 1.4868,                 1.7171,                 1.5606,                0.47405,                    0.5,                 0.4459,                0.17369,                 1.8926,                 3.4099,                 2.3391,              0.0014135,              0.0014135,              0.0014135
                      5,                 1.5293,                  1.652,                 1.5409,                0.85748,                      1,                0.94912,                0.44923,                 1.7386,                 2.8851,                 1.7429,               0.001604,               0.001604,               0.001604
                      6,                 1.4795,                 1.5565,                 1.4906,                0.95236,                      1,                  0.995,                0.50983,                 1.5578,                 1.8738,                 1.7022,               0.001505,               0.001505,               0.001505
                      7,                 1.5903,                 1.5472,                 1.5572,                      1,                0.99818,                  0.995,                0.58225,                 1.4684,                 1.5688,                 1.5174,               0.001406,               0.001406,               0.001406
                      8,                 1.5557,                 1.5847,                 1.5609,                0.87534,                   0.95,                0.98098,                0.54189,                 1.4062,                 1.4996,                 1.5094,               0.001307,               0.001307,               0.001307
                      9,                 1.4833,                 1.4736,                 1.5105,                0.90891,                      1,                0.96045,                0.50316,                 1.4364,                 2.0631,                 1.5185,               0.001208,               0.001208,               0.001208
                     10,                 1.4241,                 1.3329,                 1.4645,                0.89872,                      1,                0.98591,                0.59116,                 1.3274,                 1.1508,                   1.42,               0.001109,               0.001109,               0.001109
                     11,                 1.3657,                  1.603,                 1.4255,                      1,                0.99662,                  0.995,                0.54519,                 1.4849,                 1.0703,                 1.4541,                0.00101,                0.00101,                0.00101
                     12,                 1.3001,                 1.4515,                 1.4477,                0.92853,                    0.9,                0.93579,                0.49831,                 1.7023,                 1.1818,                 1.7144,               0.000911,               0.000911,               0.000911
                     13,                 1.3295,                 1.3395,                 1.4465,                0.94364,                   0.95,                0.94763,                0.51855,                 1.6585,                 1.0663,                 1.6709,               0.000812,               0.000812,               0.000812
                     14,                 1.2595,                 1.2362,                 1.3414,                0.99532,                      1,                  0.995,                0.56145,                 1.4797,                0.88949,                 1.5058,               0.000713,               0.000713,               0.000713
                     15,                 1.3226,                 1.2789,                  1.458,                0.99578,                      1,                  0.995,                0.54206,                 1.5389,                0.90536,                 1.4969,               0.000614,               0.000614,               0.000614
                     16,                  1.254,                 1.2188,                 1.3793,                0.99874,                      1,                  0.995,                0.50242,                 1.5384,                0.86371,                 1.4734,               0.000515,               0.000515,               0.000515
                     17,                 1.2376,                 1.1562,                 1.3476,                0.99596,                      1,                  0.995,                 0.5355,                 1.5056,                0.77384,                 1.4965,               0.000416,               0.000416,               0.000416
                     18,                 1.2102,                 1.1005,                 1.3228,                0.99619,                      1,                  0.995,                0.52664,                 1.4761,                0.77465,                 1.4769,               0.000317,               0.000317,               0.000317
                     19,                 1.1659,                 1.0506,                 1.2942,                0.99609,                      1,                  0.995,                0.55738,                 1.5296,                0.73571,                 1.4586,               0.000218,               0.000218,               0.000218
                     20,                 1.1448,                 1.0336,                 1.2832,                0.99649,                      1,                  0.995,                0.56017,                 1.4836,                0.72516,                 1.4286,               0.000119,               0.000119,               0.000119
